video_name,frame_idx,prompt,cosine,jaccard,bleu,meteor,rouge_l,bert
Idle,114,blank,0.30497145652770996,0.13043478260869565,0.0018855939591447205,0.10692701069270107,0.18750000000000003,0.8779178857803345
Idle,114,determine,0.5159541368484497,0.12,0.010831003172855106,0.10603964960811434,0.23529411764705882,0.9065341353416443
Idle,114,bodyanalysis,0.6428930759429932,0.2037037037037037,0.03685286206252273,0.3330498866213152,0.2682926829268293,0.8781755566596985
Idle,114,context,0.6676754951477051,0.18181818181818182,0.010028146616223624,0.15690376569037656,0.25,0.8933998942375183
Idle,114,objective,0.6676754951477051,0.18181818181818182,0.010028146616223624,0.15690376569037656,0.25,0.8933998942375183
Idle,122,blank,0.30497145652770996,0.13043478260869565,0.0018855939591447205,0.10692701069270107,0.18750000000000003,0.8779178857803345
Idle,122,determine,0.6065238118171692,0.19230769230769232,0.05607916112826589,0.18278688524590164,0.2702702702702703,0.8969001770019531
Idle,122,bodyanalysis,0.6351073980331421,0.18181818181818182,0.048540905267463956,0.34940036900369004,0.3384615384615384,0.8802220821380615
Idle,122,context,0.6676754951477051,0.18181818181818182,0.010028146616223624,0.15690376569037656,0.25,0.8933998942375183
Idle,122,objective,0.6676754951477051,0.18181818181818182,0.010028146616223624,0.15690376569037656,0.25,0.8933998942375183
Idle,130,blank,0.1343124657869339,0.06666666666666667,0.006980705362777759,0.06097560975609757,0.10256410256410256,0.860131561756134
Idle,130,determine,0.6149165630340576,0.2222222222222222,0.07306251530426115,0.23270283723245394,0.30769230769230765,0.9009503126144409
Idle,130,bodyanalysis,0.6513994932174683,0.18181818181818182,0.03549988305905961,0.31356851825310705,0.2650602409638554,0.8821543455123901
Idle,130,context,0.6164823770523071,0.14814814814814814,0.05303639607699453,0.1536885245901639,0.2702702702702703,0.9077473878860474
Idle,130,objective,0.6164823770523071,0.14814814814814814,0.05303639607699453,0.1536885245901639,0.2702702702702703,0.9077473878860474
Idle,138,blank,0.30497145652770996,0.13043478260869565,0.0018855939591447205,0.10692701069270107,0.18750000000000003,0.8779178857803345
