video_name,frame_idx,prompt_type,caption
Idle,114,blank,"The pedestrian is positioned sideways, facing toward the side of the road. Their arms rest naturally by their sides, with no gestures being made."
Idle,114,determine,"The pedestrian is not making any gestures."
Idle,114,bodyanalysis,"The pedestrian is standing in a neutral stance, facing sideways toward the road. Their arms are relaxed and hanging loosely at their sides."
Idle,114,context,"You observe a pedestrian standing still with a sideways posture, not making any gestures."
Idle,114,objective,"The pedestrian is stationary and not signaling any specific intent. No action is required in response."
Idle,122,blank,"The pedestrian is standing at an angle, facing the side of the road. Their arms hang loosely at their sides, and they are not signaling anything."
Idle,122,determine,"The pedestrian is not displaying any gestures."
Idle,122,bodyanalysis,"The pedestrian stands at a slight angle, arms naturally resting at their sides without any movement."
Idle,122,context,"The pedestrian remains still, facing sideways, without making any gestures."
Idle,122,objective,"No gestures are detected from the pedestrian. Continue monitoring the surroundings."
Idle,130,blank,"The pedestrian remains in a neutral stance, turned slightly to the side and looking towards the edge of the road. Their arms stay relaxed at their sides, with no gestures."
Idle,130,determine,"The pedestrian is not making any recognizable gestures."
Idle,130,bodyanalysis,"The pedestrian's posture is relaxed, with their body slightly turned to the side and arms resting naturally."
Idle,130,context,"You detect a pedestrian standing passively, not making any gestures or movements."
Idle,130,objective,"No specific gestures detected from the pedestrian. Maintain current course while monitoring."
Idle,138,blank,"The pedestrian is standing still, turned sideways, gazing toward the road. Their hands are down by their sides, making no movement or signal."
Idle,138,determine,"No gestures are present in the pedestrian’s stance."
Idle,138,bodyanalysis,"The pedestrian is standing upright with their body facing sideways. Their arms are stationary at their sides."
Idle,138,context,"You observe a pedestrian standing calmly without signaling any intent."
Idle,138,objective,"The pedestrian is neutral and not making any signals. Continue with normal operation."
Idle,146,blank,"The pedestrian maintains a static stance, turned sideways in the direction of the road. Their arms remain idle by their sides, with no indication of signaling."
Idle,146,determine,"The pedestrian is not making any gestures."
Idle,146,bodyanalysis,"The pedestrian's posture is passive, facing the road without moving their arms."
Idle,146,context,"A pedestrian is present, but they are not making any gestures or movements."
Idle,146,objective,"No gestures detected from the pedestrian. No action required."
